codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer,stock_norm,ventas_norm,nivel_rotacion,indice_rotacion,urgencia_stock,riesgo_vencimiento,rotacion_num,demanda_norm,prioridad
P0370,Plato para mascotas,Mascotas,16,74,127,2025-06-09,248,0.02083333333333333,0.8523489932885906,Alta,7.9375,4.625,0,1.0,0.8523489932885906,1.6807046979865772
P0497,Correa retractil,Mascotas,16,61,126,2025-01-12,16,0.02083333333333333,0.8456375838926175,Alta,7.875,3.8125,1,1.0,0.8456375838926175,1.5161912751677853
P0242,Luz LED USB,Electronica,12,45,106,2025-01-14,12,0.006944444444444441,0.7114093959731543,Alta,8.833333333333334,3.75,1,1.0,0.7114093959731543,1.4634228187919462
P0241,Salsa de soya,Comida Asiatica,16,79,84,2025-07-27,314,0.02083333333333333,0.5637583892617449,Media,5.25,4.9375,0,0.5,0.5637583892617449,1.4066275167785234
P0050,Vaporizador de bambu,Cocina,22,64,135,2025-11-09,36,0.04166666666666666,0.9060402684563759,Alta,6.136363636363637,2.909090909090909,0,1.0,0.9060402684563759,1.3536302623550946
P0470,Sarten antiadherente,Cocina,25,70,145,2025-06-11,234,0.05208333333333333,0.9731543624161073,Alta,5.8,2.8,0,1.0,0.9731543624161074,1.3519463087248322
P0471,Audifonos Bluetooth,Electronica,22,60,111,2025-10-17,295,0.04166666666666666,0.7449664429530202,Alta,5.045454545454546,2.727272727272727,0,1.0,0.7449664429530202,1.2689444783404515
P0093,Escoba plegable,Hogar,14,37,118,2025-03-06,146,0.013888888888888881,0.7919463087248322,Alta,8.428571428571429,2.642857142857143,0,1.0,0.7919463087248322,1.266155321188878
P0426,Juguete para perro,Mascotas,28,76,109,2025-09-25,240,0.062499999999999986,0.7315436241610738,Alta,3.892857142857143,2.7142857142857144,0,1.0,0.7315436241610739,1.2623202301054652
P0138,Mini ventilador USB,Electronica,32,67,143,2025-06-02,145,0.07638888888888888,0.959731543624161,Alta,4.46875,2.09375,0,1.0,0.959731543624161,1.2066694630872483
P0163,Crema hidratante,Belleza,17,69,57,2025-09-04,323,0.024305555555555552,0.3825503355704698,Media,3.3529411764705883,4.0588235294117645,0,0.5,0.3825503355704698,1.176529806553494
P0179,Figura Feng Shui,Decoracion,20,40,113,2025-07-06,295,0.034722222222222224,0.7583892617449665,Alta,5.65,2.0,0,1.0,0.7583892617449665,1.12751677852349
P0313,Te verde japones,Comida Asiatica,21,36,128,2025-04-06,92,0.038194444444444434,0.8590604026845637,Alta,6.095238095238095,1.7142857142857142,0,1.0,0.8590604026845637,1.100575263662512
P0076,Taza termica,Cocina,34,56,123,2025-02-22,151,0.08333333333333333,0.825503355704698,Alta,3.6176470588235294,1.6470588235294117,0,1.0,0.825503355704698,1.0770627714172918
P0283,Cuaderno kawaii,Papeleria,45,72,118,2025-09-20,310,0.12152777777777778,0.7919463087248322,Alta,2.6222222222222222,1.6,0,1.0,0.7919463087248322,1.0575838926174497
P0186,Pijama,Ropa,21,66,80,2025-08-04,339,0.038194444444444434,0.5369127516778524,Media,3.8095238095238093,3.142857142857143,0,0.5,0.5369127516778524,1.0396452540747843
P0243,Mascarilla coreana,Belleza,34,49,122,2025-05-27,55,0.08333333333333333,0.8187919463087248,Alta,3.588235294117647,1.4411764705882353,0,1.0,0.8187919463087249,1.0338728780102646
P0347,Escoba plegable,Hogar,19,25,128,2025-10-29,231,0.03125,0.8590604026845637,Alta,6.7368421052631575,1.3157894736842106,0,1.0,0.8590604026845637,1.0208760155422114
P0017,Cable Tipo C,Electronica,44,69,101,2025-05-11,257,0.11805555555555554,0.6778523489932886,Alta,2.2954545454545454,1.5681818181818181,0,1.0,0.6778523489932886,1.0169920683343503
P0499,Mascarilla coreana,Belleza,54,63,132,2025-04-14,195,0.1527777777777778,0.8859060402684563,Alta,2.4444444444444446,1.1666666666666667,0,1.0,0.8859060402684564,0.9991051454138703
P0005,Taza termica,Cocina,64,68,131,2025-11-03,135,0.1875,0.8791946308724832,Alta,2.046875,1.0625,0,1.0,0.8791946308724832,0.976258389261745
P0174,Escoba plegable,Hogar,84,74,146,2025-05-08,341,0.2569444444444444,0.9798657718120806,Alta,1.7380952380952381,0.8809523809523809,0,1.0,0.9798657718120806,0.9701502077341004
P0340,Pijama,Ropa,27,25,141,2025-05-29,126,0.059027777777777776,0.9463087248322147,Alta,5.222222222222222,0.9259259259259259,0,1.0,0.9463087248322147,0.9690778026348497
P0379,Shampoo canino,Mascotas,29,30,127,2025-03-09,214,0.06597222222222221,0.8523489932885906,Alta,4.379310344827586,1.0344827586206897,0,1.0,0.8523489932885906,0.962601249710715
P0411,Sarten antiadherente,Cocina,73,54,149,2025-11-21,304,0.21875,1.0,Alta,2.041095890410959,0.7397260273972602,0,1.0,1.0,0.9479452054794522
P0490,Crema hidratante,Belleza,12,32,70,2025-05-29,28,0.006944444444444441,0.4697986577181208,Media,5.833333333333333,2.6666666666666665,1,0.5,0.4697986577181208,0.9242729306487696
P0030,Cuaderno kawaii,Papeleria,107,74,139,2025-08-28,144,0.3368055555555555,0.9328859060402684,Alta,1.2990654205607477,0.6915887850467289,0,1.0,0.9328859060402684,0.9181835288214263
P0214,Pijama,Ropa,40,27,138,2025-06-09,363,0.10416666666666667,0.9261744966442953,Alta,3.45,0.675,0,1.0,0.9261744966442953,0.9128523489932886
P0435,Incienso japones,Decoracion,71,53,127,2025-08-11,279,0.21180555555555552,0.8523489932885906,Alta,1.7887323943661972,0.7464788732394366,0,1.0,0.8523489932885906,0.9050004726344645
P0455,Farol decorativo,Decoracion,14,60,20,2025-02-15,12,0.013888888888888881,0.1342281879194631,Baja,1.4285714285714286,4.285714285714286,1,0.0,0.1342281879194631,0.8974113135186961
P0202,Te verde japones,Comida Asiatica,72,58,117,2025-08-31,330,0.2152777777777778,0.785234899328859,Alta,1.625,0.8055555555555556,0,1.0,0.785234899328859,0.8966815809097688
P0278,Repisa modular,Hogar,30,27,107,2025-12-02,303,0.06944444444444443,0.7181208053691275,Alta,3.566666666666667,0.9,0,1.0,0.7181208053691275,0.8954362416107383
P0107,Cepillo facial,Belleza,104,79,118,2025-01-08,360,0.3263888888888889,0.7919463087248322,Alta,1.1346153846153846,0.7596153846153846,0,1.0,0.7919463087248322,0.8895069695405265
P0360,Cable Tipo C,Electronica,87,79,103,2025-05-17,90,0.2673611111111111,0.6912751677852349,Alta,1.1839080459770115,0.9080459770114943,0,1.0,0.6912751677852349,0.8889917457378693
P0097,Palillos chinos,Cocina,94,77,110,2025-01-01,51,0.2916666666666667,0.7382550335570469,Alta,1.1702127659574468,0.8191489361702128,0,1.0,0.738255033557047,0.8853062973011567
P0084,Palillos chinos,Cocina,150,62,148,2025-11-13,361,0.48611111111111105,0.9932885906040269,Alta,0.9866666666666667,0.41333333333333333,0,1.0,0.9932885906040269,0.8806532438478747
P0489,Lapicero gel,Papeleria,109,49,137,2025-08-04,264,0.34375,0.9194630872483222,Alta,1.2568807339449541,0.44954128440366975,0,1.0,0.9194630872483222,0.8657471830552306
P0078,Figura Feng Shui,Decoracion,224,79,146,2025-08-27,76,0.7430555555555555,0.9798657718120806,Alta,0.6517857142857143,0.35267857142857145,0,1.0,0.9798657718120806,0.8644954458293385
P0205,Shampoo canino,Mascotas,187,66,145,2025-08-04,3,0.6145833333333333,0.9731543624161073,Alta,0.7754010695187166,0.35294117647058826,1,1.0,0.9731543624161074,0.8625345440189498
P0154,Medias termicas,Ropa,84,42,130,2025-07-29,347,0.2569444444444444,0.87248322147651,Alta,1.5476190476190477,0.5,0,1.0,0.87248322147651,0.861744966442953
