codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer
P0001,Mascarilla coreana,Belleza,280,76,21,2025-04-13,122
P0002,Sarten antiadherente,Cocina,97,28,131,2025-05-30,309
P0003,Repisa modular,Hogar,201,64,21,2025-06-10,314
P0004,Mini ventilador USB,Electronica,245,53,59,2025-06-19,188
P0005,Taza termica,Cocina,64,68,131,2025-11-03,135
P0006,Incienso japones,Decoracion,176,22,132,2025-03-30,316
P0007,Caja multiuso,Hogar,274,57,130,2025-12-06,92
P0008,Mascarilla coreana,Belleza,273,51,35,2025-07-25,81
P0009,Fideos udon,Comida Asiatica,11,10,54,2025-04-16,260
P0010,Mini ventilador USB,Electronica,200,22,44,2025-06-11,202
P0011,Mochi,Comida Asiatica,199,44,82,2025-02-22,280
P0012,Polo basico,Ropa,50,33,15,2025-10-28,65
P0013,Pijama,Ropa,18,5,136,2025-03-04,139
P0014,Palillos chinos,Cocina,172,39,33,2025-09-18,231
P0015,Pijama,Ropa,210,76,12,2025-02-02,48
P0016,Cepillo facial,Belleza,71,41,99,2025-06-21,360
P0017,Cable Tipo C,Electronica,44,69,101,2025-05-11,257
P0018,Farol decorativo,Decoracion,264,18,103,2025-10-10,207
P0019,Sarten antiadherente,Cocina,240,56,96,2025-08-10,231
P0020,Te verde japones,Comida Asiatica,169,75,86,2025-10-11,66
P0021,Polo basico,Ropa,143,32,28,2025-04-18,44
P0022,Salsa de soya,Comida Asiatica,137,66,129,2025-10-10,121
P0023,Te verde japones,Comida Asiatica,242,7,103,2025-07-17,137
P0024,Incienso japones,Decoracion,243,48,59,2025-06-09,96
P0025,Cuaderno kawaii,Papeleria,189,66,52,2025-09-25,295
P0026,Escoba plegable,Hogar,122,60,81,2025-07-06,113
P0027,Caja multiuso,Hogar,229,58,87,2025-08-12,225
P0028,Plato para mascotas,Mascotas,135,6,53,2025-06-21,218
P0029,Audifonos Bluetooth,Electronica,256,72,123,2025-09-12,294
P0030,Cuaderno kawaii,Papeleria,107,74,139,2025-08-28,144
P0031,Arena para gato,Mascotas,133,63,70,2025-12-15,259
P0032,Mochi,Comida Asiatica,156,24,96,2025-07-18,308
P0033,Polo basico,Ropa,137,43,82,2025-12-26,129
P0034,Polo basico,Ropa,160,35,42,2025-04-09,263
P0035,Polo basico,Ropa,11,5,48,2025-09-11,140
P0036,Incienso japones,Decoracion,169,13,99,2025-05-27,304
P0037,Taza termica,Cocina,161,58,120,2025-06-10,116
P0038,Juguete para perro,Mascotas,113,29,93,2025-12-04,194
P0039,Cable Tipo C,Electronica,217,65,68,2025-10-16,277
P0040,Salsa de soya,Comida Asiatica,137,37,115,2025-01-22,238
P0041,Luz LED USB,Electronica,60,58,8,2025-10-10,27
P0042,Organizador plastico,Hogar,295,32,111,2025-11-13,304
P0043,Taza termica,Cocina,44,68,49,2025-01-17,172
P0044,Farol decorativo,Decoracion,108,41,24,2025-12-15,302
P0045,Figura Feng Shui,Decoracion,108,64,116,2025-07-10,253
P0046,Figura Feng Shui,Decoracion,170,71,128,2025-01-18,281
P0047,Luz LED USB,Electronica,183,28,114,2025-10-15,342
P0048,Crema hidratante,Belleza,136,31,130,2025-09-30,104
P0049,Arena para gato,Mascotas,255,52,39,2025-06-19,247
P0050,Vaporizador de bambu,Cocina,22,64,135,2025-11-09,36
P0051,Ramen coreano,Comida Asiatica,273,20,142,2025-05-23,92
P0052,Caja multiuso,Hogar,297,67,86,2025-02-20,153
P0053,Luz LED USB,Electronica,67,53,70,2025-09-28,54
P0054,Incienso japones,Decoracion,273,57,60,2025-04-18,5
P0055,Crema hidratante,Belleza,56,59,52,2025-05-24,269
P0056,Repisa modular,Hogar,115,34,147,2025-05-25,120
P0057,Taza termica,Cocina,67,59,90,2025-08-17,117
P0058,Cepillo facial,Belleza,138,62,122,2025-01-01,239
P0059,Repisa modular,Hogar,135,52,89,2025-08-25,272
P0060,Cepillo facial,Belleza,78,26,93,2025-09-04,76
P0061,Palillos chinos,Cocina,95,61,29,2025-08-08,69
P0062,Juguete para perro,Mascotas,213,20,85,2025-02-08,100
P0063,Shampoo canino,Mascotas,32,14,69,2025-04-10,290
P0064,Fideos udon,Comida Asiatica,259,23,96,2025-09-14,325
P0065,Fideos udon,Comida Asiatica,169,28,140,2025-06-27,163
P0066,Arena para gato,Mascotas,188,47,101,2025-09-25,323
P0067,Arena para gato,Mascotas,177,78,43,2025-02-13,285
P0068,Organizador plastico,Hogar,251,39,81,2025-03-31,264
P0069,Escoba plegable,Hogar,114,11,58,2025-04-24,75
P0070,Cuaderno kawaii,Papeleria,286,40,138,2025-12-23,192
P0071,Palillos chinos,Cocina,108,40,96,2025-06-01,151
P0072,Incienso japones,Decoracion,192,17,23,2025-08-05,355
P0073,Medias termicas,Ropa,282,66,84,2025-08-05,342
P0074,Palillos chinos,Cocina,109,16,147,2025-03-17,265
P0075,Crema hidratante,Belleza,232,56,83,2025-05-24,69
P0076,Taza termica,Cocina,34,56,123,2025-02-22,151
P0077,Pijama,Ropa,118,57,42,2025-07-05,223
P0078,Figura Feng Shui,Decoracion,224,79,146,2025-08-27,76
P0079,Medias termicas,Ropa,262,11,141,2025-06-17,170
P0080,Medias termicas,Ropa,292,70,5,2025-01-29,165
P0081,Cable Tipo C,Electronica,145,69,86,2025-05-25,327
P0082,Polo basico,Ropa,141,40,70,2025-09-09,275
P0083,Cable Tipo C,Electronica,100,78,90,2025-01-19,39
P0084,Palillos chinos,Cocina,150,62,148,2025-11-13,361
P0085,Mascarilla coreana,Belleza,199,67,113,2025-11-08,117
P0086,Luz LED USB,Electronica,53,49,61,2025-10-30,149
P0087,Mini ventilador USB,Electronica,212,40,147,2025-01-20,47
P0088,Polo basico,Ropa,23,19,1,2025-02-23,259
P0089,Mascarilla coreana,Belleza,21,78,16,2025-12-24,156
P0090,Farol decorativo,Decoracion,173,12,60,2025-06-27,28
P0091,Incienso japones,Decoracion,237,68,145,2025-07-20,212
P0092,Palillos chinos,Cocina,91,73,47,2025-01-10,312
P0093,Escoba plegable,Hogar,14,37,118,2025-03-06,146
P0094,Plato para mascotas,Mascotas,291,67,86,2025-11-11,283
P0095,Shampoo canino,Mascotas,107,5,149,2025-11-07,6
P0096,Shampoo canino,Mascotas,142,7,23,2025-02-22,165
P0097,Palillos chinos,Cocina,94,77,110,2025-01-01,51
P0098,Ramen coreano,Comida Asiatica,297,38,92,2025-04-05,72
P0099,Crema hidratante,Belleza,259,38,118,2025-09-16,306
P0100,Juguete para perro,Mascotas,231,61,145,2025-04-22,255
P0101,Cepillo facial,Belleza,238,18,66,2025-03-16,103
P0102,Audifonos Bluetooth,Electronica,261,42,50,2025-04-08,338
P0103,Sarten antiadherente,Cocina,258,42,79,2025-01-30,247
P0104,Palillos chinos,Cocina,142,33,132,2025-05-18,184
P0105,Correa retractil,Mascotas,282,73,34,2025-09-19,53
P0106,Organizador plastico,Hogar,135,47,115,2025-04-21,249
P0107,Cepillo facial,Belleza,104,79,118,2025-01-08,360
P0108,Ramen coreano,Comida Asiatica,204,71,93,2025-06-09,61
P0109,Sarten antiadherente,Cocina,286,9,92,2025-06-19,317
P0110,Mini ventilador USB,Electronica,10,9,12,2025-12-12,46
P0111,Organizador plastico,Hogar,87,49,73,2025-10-09,249
P0112,Medias termicas,Ropa,248,60,94,2025-04-17,319
P0113,Correa retractil,Mascotas,266,12,113,2025-12-21,253
P0114,Fideos udon,Comida Asiatica,37,6,109,2025-06-03,14
P0115,Stickers decorativos,Papeleria,16,7,111,2025-08-26,363
P0116,Caja multiuso,Hogar,236,19,119,2025-01-28,202
P0117,Mascarilla coreana,Belleza,282,48,25,2025-05-25,13
P0118,Ramen coreano,Comida Asiatica,77,14,67,2025-08-21,109
P0119,Escoba plegable,Hogar,237,38,111,2025-09-21,236
P0120,Vaporizador de bambu,Cocina,110,10,26,2025-11-16,226
P0121,Stickers decorativos,Papeleria,238,37,21,2025-07-17,70
P0122,Crema hidratante,Belleza,104,28,55,2025-05-17,247
P0123,Sarten antiadherente,Cocina,40,44,36,2025-08-11,6
P0124,Repisa modular,Hogar,229,79,4,2025-12-01,134
P0125,Mini ventilador USB,Electronica,103,55,62,2025-07-13,335
P0126,Lapicero gel,Papeleria,182,48,133,2025-11-22,118
P0127,Salsa de soya,Comida Asiatica,221,24,113,2025-05-20,47
P0128,Correa retractil,Mascotas,151,68,38,2025-10-20,139
P0129,Te verde japones,Comida Asiatica,268,37,134,2025-06-27,10
P0130,Figura Feng Shui,Decoracion,147,48,130,2025-01-13,168
P0131,Repisa modular,Hogar,110,77,17,2025-09-22,38
P0132,Cepillo facial,Belleza,103,53,69,2025-11-14,236
P0133,Caja multiuso,Hogar,146,38,76,2025-02-04,1
P0134,Lapicero gel,Papeleria,69,68,93,2025-11-24,267
P0135,Polo basico,Ropa,279,64,30,2025-10-18,213
P0136,Incienso japones,Decoracion,87,30,62,2025-05-12,89
P0137,Medias termicas,Ropa,113,18,32,2025-06-28,125
P0138,Mini ventilador USB,Electronica,32,67,143,2025-06-02,145
P0139,Correa retractil,Mascotas,113,55,39,2025-07-17,134
P0140,Sarten antiadherente,Cocina,188,76,42,2025-01-15,111
P0141,Juguete para perro,Mascotas,240,31,38,2025-04-07,289
P0142,Fideos udon,Comida Asiatica,19,9,123,2025-11-26,353
P0143,Luz LED USB,Electronica,168,51,109,2025-08-04,184
P0144,Cuaderno kawaii,Papeleria,166,51,68,2025-11-28,173
P0145,Escoba plegable,Hogar,104,40,36,2025-10-09,299
P0146,Figura Feng Shui,Decoracion,263,78,104,2025-02-07,134
P0147,Stickers decorativos,Papeleria,227,17,104,2025-07-29,111
P0148,Stickers decorativos,Papeleria,142,41,72,2025-05-07,106
P0149,Juguete para perro,Mascotas,296,13,51,2025-01-29,296
P0150,Medias termicas,Ropa,276,27,1,2025-10-29,101
P0151,Farol decorativo,Decoracion,119,40,57,2025-01-01,319
P0152,Cable Tipo C,Electronica,158,51,53,2025-05-17,202
P0153,Ramen coreano,Comida Asiatica,126,30,35,2025-03-04,244
P0154,Medias termicas,Ropa,84,42,130,2025-07-29,347
P0155,Plato para mascotas,Mascotas,260,55,25,2025-06-29,198
P0156,Incienso japones,Decoracion,186,33,63,2025-05-30,154
P0157,Organizador plastico,Hogar,58,75,81,2025-03-25,361
P0158,Juguete para perro,Mascotas,127,67,104,2025-02-18,327
P0159,Shampoo canino,Mascotas,224,55,123,2025-07-30,318
P0160,Shampoo canino,Mascotas,295,20,19,2025-01-18,257
P0161,Sarten antiadherente,Cocina,203,42,63,2025-05-12,264
P0162,Cepillo facial,Belleza,140,36,10,2025-06-11,87
P0163,Crema hidratante,Belleza,17,69,57,2025-09-04,323
P0164,Stickers decorativos,Papeleria,264,76,54,2025-09-06,239
P0165,Figura Feng Shui,Decoracion,60,12,35,2025-04-06,88
P0166,Lapicero gel,Papeleria,174,58,142,2025-08-11,311
P0167,Escoba plegable,Hogar,272,37,85,2025-05-27,112
P0168,Taza termica,Cocina,294,64,82,2025-01-02,303
P0169,Figura Feng Shui,Decoracion,243,6,119,2025-01-20,261
