codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer,stock_norm,ventas_norm,nivel_rotacion,indice_rotacion,urgencia_stock,riesgo_vencimiento
P0001,Mascarilla coreana,Belleza,280,76,21,2025-04-13,122,0.9375,0.1351351351351351,Baja,0.075,0.2714285714285714,0
P0002,Sarten antiadherente,Cocina,97,28,131,2025-05-30,309,0.3020833333333333,0.8783783783783784,Alta,1.3505154639175259,0.28865979381443296,0
P0003,Repisa modular,Hogar,201,64,21,2025-06-10,314,0.6631944444444444,0.1351351351351351,Baja,0.1044776119402985,0.31840796019900497,0
P0004,Mini ventilador USB,Electronica,245,53,59,2025-06-19,188,0.8159722222222222,0.3918918918918919,Media,0.24081632653061225,0.2163265306122449,0
P0005,Taza termica,Cocina,64,68,131,2025-11-03,135,0.1875,0.8783783783783784,Alta,2.046875,1.0625,0
P0006,Incienso japones,Decoracion,176,22,132,2025-03-30,316,0.5763888888888888,0.8851351351351351,Alta,0.75,0.125,0
P0007,Caja multiuso,Hogar,274,57,130,2025-12-06,92,0.9166666666666666,0.8716216216216216,Alta,0.4744525547445255,0.20802919708029197,0
P0008,Mascarilla coreana,Belleza,273,51,35,2025-07-25,81,0.9131944444444444,0.2297297297297297,Baja,0.1282051282051282,0.18681318681318682,0
P0009,Fideos udon,Comida Asiatica,11,10,54,2025-04-16,260,0.0034722222222222,0.3581081081081081,Media,4.909090909090909,0.9090909090909091,0
P0010,Mini ventilador USB,Electronica,200,22,44,2025-06-11,202,0.6597222222222222,0.2905405405405405,Baja,0.22,0.11,0
P0011,Mochi,Comida Asiatica,199,44,82,2025-02-22,280,0.65625,0.5472972972972973,Media,0.4120603015075377,0.22110552763819097,0
P0012,Polo basico,Ropa,50,33,15,2025-10-28,65,0.1388888888888889,0.0945945945945946,Baja,0.3,0.66,0
P0013,Pijama,Ropa,18,5,136,2025-03-04,139,0.0277777777777777,0.9121621621621622,Alta,7.555555555555555,0.2777777777777778,0
P0014,Palillos chinos,Cocina,172,39,33,2025-09-18,231,0.5625,0.2162162162162162,Baja,0.19186046511627908,0.22674418604651161,0
P0015,Pijama,Ropa,210,76,12,2025-02-02,48,0.6944444444444444,0.0743243243243243,Baja,0.05714285714285714,0.3619047619047619,0
P0016,Cepillo facial,Belleza,71,41,99,2025-06-21,360,0.2118055555555555,0.6621621621621622,Media,1.3943661971830985,0.5774647887323944,0
P0017,Cable Tipo C,Electronica,44,69,101,2025-05-11,257,0.1180555555555555,0.6756756756756757,Alta,2.2954545454545454,1.5681818181818181,0
P0018,Farol decorativo,Decoracion,264,18,103,2025-10-10,207,0.8819444444444444,0.6891891891891891,Alta,0.39015151515151514,0.06818181818181818,0
P0019,Sarten antiadherente,Cocina,240,56,96,2025-08-10,231,0.798611111111111,0.6418918918918919,Media,0.4,0.23333333333333334,0
P0020,Te verde japones,Comida Asiatica,169,75,86,2025-10-11,66,0.5520833333333333,0.5743243243243243,Media,0.5088757396449705,0.4437869822485207,0
P0021,Polo basico,Ropa,143,32,28,2025-04-18,44,0.4618055555555555,0.1824324324324324,Baja,0.1958041958041958,0.22377622377622378,0
