codigo_producto,nombre_producto,categoria,nivel_rotacion,accion
P0001,Mascarilla coreana,Belleza,Baja,Alerta de sobrestock
P0002,Sarten antiadherente,Cocina,Alta,Monitorear
P0003,Repisa modular,Hogar,Baja,Alerta de sobrestock
P0004,Mini ventilador USB,Electronica,Media,Monitorear
P0005,Taza termica,Cocina,Alta,Reabastecimiento urgente
P0006,Incienso japones,Decoracion,Alta,Monitorear
P0007,Caja multiuso,Hogar,Alta,Monitorear
P0008,Mascarilla coreana,Belleza,Baja,Alerta de sobrestock
P0009,Fideos udon,Comida Asiatica,Media,Monitorear
P0010,Mini ventilador USB,Electronica,Baja,Alerta de sobrestock
P0011,Mochi,Comida Asiatica,Media,Monitorear
P0012,Polo basico,Ropa,Baja,Monitorear
P0013,Pijama,Ropa,Alta,Monitorear
P0014,Palillos chinos,Cocina,Baja,Alerta de sobrestock
P0015,Pijama,Ropa,Baja,Monitorear
P0016,Cepillo facial,Belleza,Media,Monitorear
P0017,Cable Tipo C,Electronica,Alta,Reabastecimiento urgente
P0018,Farol decorativo,Decoracion,Alta,Monitorear
P0019,Sarten antiadherente,Cocina,Media,Monitorear
P0020,Te verde japones,Comida Asiatica,Media,Monitorear
P0021,Polo basico,Ropa,Baja,Alerta de sobrestock
P0022,Salsa de soya,Comida Asiatica,Alta,Monitorear
P0023,Te verde japones,Comida Asiatica,Alta,Monitorear
P0024,Incienso japones,Decoracion,Media,Monitorear
P0025,Cuaderno kawaii,Papeleria,Baja,Monitorear
P0026,Escoba plegable,Hogar,Media,Monitorear
P0027,Caja multiuso,Hogar,Media,Monitorear
P0028,Plato para mascotas,Mascotas,Media,Monitorear
P0029,Audifonos Bluetooth,Electronica,Alta,Monitorear
P0030,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0031,Arena para gato,Mascotas,Media,Monitorear
P0032,Mochi,Comida Asiatica,Media,Monitorear
P0033,Polo basico,Ropa,Media,Monitorear
P0034,Polo basico,Ropa,Baja,Alerta de sobrestock
P0035,Polo basico,Ropa,Baja,Monitorear
P0036,Incienso japones,Decoracion,Media,Monitorear
P0037,Taza termica,Cocina,Alta,Monitorear
P0038,Juguete para perro,Mascotas,Media,Monitorear
P0039,Cable Tipo C,Electronica,Media,Monitorear
P0040,Salsa de soya,Comida Asiatica,Alta,Monitorear
P0041,Luz LED USB,Electronica,Baja,Monitorear
P0042,Organizador plastico,Hogar,Alta,Monitorear
P0043,Taza termica,Cocina,Baja,Monitorear
P0044,Farol decorativo,Decoracion,Baja,Monitorear
P0045,Figura Feng Shui,Decoracion,Alta,Monitorear
P0046,Figura Feng Shui,Decoracion,Alta,Monitorear
P0047,Luz LED USB,Electronica,Alta,Monitorear
P0048,Crema hidratante,Belleza,Alta,Monitorear
P0049,Arena para gato,Mascotas,Baja,Alerta de sobrestock
P0050,Vaporizador de bambu,Cocina,Alta,Reabastecimiento urgente
P0051,Ramen coreano,Comida Asiatica,Alta,Monitorear
P0052,Caja multiuso,Hogar,Media,Monitorear
P0053,Luz LED USB,Electronica,Media,Monitorear
P0054,Incienso japones,Decoracion,Media,Promocionar producto
P0055,Crema hidratante,Belleza,Baja,Monitorear
P0056,Repisa modular,Hogar,Alta,Monitorear
P0057,Taza termica,Cocina,Media,Monitorear
P0058,Cepillo facial,Belleza,Alta,Monitorear
P0059,Repisa modular,Hogar,Media,Monitorear
P0060,Cepillo facial,Belleza,Media,Monitorear
P0061,Palillos chinos,Cocina,Baja,Monitorear
P0062,Juguete para perro,Mascotas,Media,Monitorear
P0063,Shampoo canino,Mascotas,Media,Monitorear
P0064,Fideos udon,Comida Asiatica,Media,Monitorear
P0065,Fideos udon,Comida Asiatica,Alta,Monitorear
P0066,Arena para gato,Mascotas,Alta,Monitorear
P0067,Arena para gato,Mascotas,Baja,Monitorear
P0068,Organizador plastico,Hogar,Media,Monitorear
P0069,Escoba plegable,Hogar,Media,Monitorear
P0070,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0071,Palillos chinos,Cocina,Media,Monitorear
P0072,Incienso japones,Decoracion,Baja,Alerta de sobrestock
P0073,Medias termicas,Ropa,Media,Monitorear
P0074,Palillos chinos,Cocina,Alta,Monitorear
P0075,Crema hidratante,Belleza,Media,Monitorear
P0076,Taza termica,Cocina,Alta,Reabastecimiento urgente
P0077,Pijama,Ropa,Baja,Monitorear
P0078,Figura Feng Shui,Decoracion,Alta,Monitorear
P0079,Medias termicas,Ropa,Alta,Monitorear
P0080,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0081,Cable Tipo C,Electronica,Media,Monitorear
P0082,Polo basico,Ropa,Media,Monitorear
P0083,Cable Tipo C,Electronica,Media,Monitorear
P0084,Palillos chinos,Cocina,Alta,Monitorear
P0085,Mascarilla coreana,Belleza,Alta,Monitorear
P0086,Luz LED USB,Electronica,Media,Monitorear
P0087,Mini ventilador USB,Electronica,Alta,Monitorear
P0088,Polo basico,Ropa,Baja,Monitorear
P0089,Mascarilla coreana,Belleza,Baja,Monitorear
P0090,Farol decorativo,Decoracion,Media,Monitorear
P0091,Incienso japones,Decoracion,Alta,Monitorear
P0092,Palillos chinos,Cocina,Baja,Monitorear
P0093,Escoba plegable,Hogar,Alta,Reabastecimiento urgente
P0094,Plato para mascotas,Mascotas,Media,Monitorear
P0095,Shampoo canino,Mascotas,Alta,Promocionar producto
P0096,Shampoo canino,Mascotas,Baja,Alerta de sobrestock
P0097,Palillos chinos,Cocina,Alta,Monitorear
P0098,Ramen coreano,Comida Asiatica,Media,Monitorear
P0099,Crema hidratante,Belleza,Alta,Monitorear
P0100,Juguete para perro,Mascotas,Alta,Monitorear
P0101,Cepillo facial,Belleza,Media,Monitorear
P0102,Audifonos Bluetooth,Electronica,Baja,Alerta de sobrestock
P0103,Sarten antiadherente,Cocina,Media,Monitorear
P0104,Palillos chinos,Cocina,Alta,Monitorear
P0105,Correa retractil,Mascotas,Baja,Alerta de sobrestock
P0106,Organizador plastico,Hogar,Alta,Monitorear
P0107,Cepillo facial,Belleza,Alta,Monitorear
P0108,Ramen coreano,Comida Asiatica,Media,Monitorear
P0109,Sarten antiadherente,Cocina,Media,Monitorear
P0110,Mini ventilador USB,Electronica,Baja,Monitorear
P0111,Organizador plastico,Hogar,Media,Monitorear
P0112,Medias termicas,Ropa,Media,Monitorear
P0113,Correa retractil,Mascotas,Alta,Monitorear
P0114,Fideos udon,Comida Asiatica,Alta,Promocionar producto
P0115,Stickers decorativos,Papeleria,Alta,Monitorear
P0116,Caja multiuso,Hogar,Alta,Monitorear
P0117,Mascarilla coreana,Belleza,Baja,Alerta de sobrestock
P0118,Ramen coreano,Comida Asiatica,Media,Monitorear
P0119,Escoba plegable,Hogar,Alta,Monitorear
P0120,Vaporizador de bambu,Cocina,Baja,Alerta de sobrestock
P0121,Stickers decorativos,Papeleria,Baja,Alerta de sobrestock
P0122,Crema hidratante,Belleza,Media,Monitorear
P0123,Sarten antiadherente,Cocina,Baja,Promocionar producto
P0124,Repisa modular,Hogar,Baja,Monitorear
P0125,Mini ventilador USB,Electronica,Media,Monitorear
P0126,Lapicero gel,Papeleria,Alta,Monitorear
P0127,Salsa de soya,Comida Asiatica,Alta,Monitorear
P0128,Correa retractil,Mascotas,Baja,Monitorear
P0129,Te verde japones,Comida Asiatica,Alta,Promocionar producto
P0130,Figura Feng Shui,Decoracion,Alta,Monitorear
P0131,Repisa modular,Hogar,Baja,Monitorear
P0132,Cepillo facial,Belleza,Media,Monitorear
P0133,Caja multiuso,Hogar,Media,Promocionar producto
P0134,Lapicero gel,Papeleria,Media,Monitorear
P0135,Polo basico,Ropa,Baja,Alerta de sobrestock
P0136,Incienso japones,Decoracion,Media,Monitorear
P0137,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0138,Mini ventilador USB,Electronica,Alta,Reabastecimiento urgente
P0139,Correa retractil,Mascotas,Baja,Monitorear
P0140,Sarten antiadherente,Cocina,Baja,Monitorear
P0141,Juguete para perro,Mascotas,Baja,Alerta de sobrestock
P0142,Fideos udon,Comida Asiatica,Alta,Monitorear
P0143,Luz LED USB,Electronica,Alta,Monitorear
P0144,Cuaderno kawaii,Papeleria,Media,Monitorear
P0145,Escoba plegable,Hogar,Baja,Monitorear
P0146,Figura Feng Shui,Decoracion,Alta,Monitorear
P0147,Stickers decorativos,Papeleria,Alta,Monitorear
P0148,Stickers decorativos,Papeleria,Media,Monitorear
P0149,Juguete para perro,Mascotas,Baja,Alerta de sobrestock
P0150,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0151,Farol decorativo,Decoracion,Media,Monitorear
P0152,Cable Tipo C,Electronica,Media,Monitorear
P0153,Ramen coreano,Comida Asiatica,Baja,Alerta de sobrestock
P0154,Medias termicas,Ropa,Alta,Monitorear
P0155,Plato para mascotas,Mascotas,Baja,Alerta de sobrestock
P0156,Incienso japones,Decoracion,Media,Monitorear
P0157,Organizador plastico,Hogar,Media,Monitorear
P0158,Juguete para perro,Mascotas,Alta,Monitorear
P0159,Shampoo canino,Mascotas,Alta,Monitorear
P0160,Shampoo canino,Mascotas,Baja,Alerta de sobrestock
P0161,Sarten antiadherente,Cocina,Media,Monitorear
P0162,Cepillo facial,Belleza,Baja,Alerta de sobrestock
P0163,Crema hidratante,Belleza,Media,Monitorear
P0164,Stickers decorativos,Papeleria,Media,Monitorear
P0165,Figura Feng Shui,Decoracion,Baja,Alerta de sobrestock
P0166,Lapicero gel,Papeleria,Alta,Monitorear
P0167,Escoba plegable,Hogar,Media,Monitorear
P0168,Taza termica,Cocina,Media,Monitorear
