codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer,stock_norm,ventas_norm,nivel_rotacion
P0001,Mascarilla coreana,Belleza,280,76,21,2025-04-13,122,0.9375,0.13513513513513514,Baja
P0002,Sarten antiadherente,Cocina,97,28,131,2025-05-30,309,0.3020833333333333,0.8783783783783784,Alta
P0003,Repisa modular,Hogar,201,64,21,2025-06-10,314,0.6631944444444444,0.13513513513513514,Baja
P0004,Mini ventilador USB,Electronica,245,53,59,2025-06-19,188,0.8159722222222222,0.39189189189189194,Media
P0005,Taza termica,Cocina,64,68,131,2025-11-03,135,0.1875,0.8783783783783784,Alta
P0006,Incienso japones,Decoracion,176,22,132,2025-03-30,316,0.5763888888888888,0.8851351351351351,Alta
P0007,Caja multiuso,Hogar,274,57,130,2025-12-06,92,0.9166666666666666,0.8716216216216216,Alta
P0008,Mascarilla coreana,Belleza,273,51,35,2025-07-25,81,0.9131944444444444,0.22972972972972977,Baja
P0009,Fideos udon,Comida Asiatica,11,10,54,2025-04-16,260,0.003472222222222217,0.35810810810810817,Media
P0010,Mini ventilador USB,Electronica,200,22,44,2025-06-11,202,0.6597222222222222,0.29054054054054057,Baja
P0011,Mochi,Comida Asiatica,199,44,82,2025-02-22,280,0.65625,0.5472972972972973,Media
P0012,Polo basico,Ropa,50,33,15,2025-10-28,65,0.1388888888888889,0.0945945945945946,Baja
P0013,Pijama,Ropa,18,5,136,2025-03-04,139,0.027777777777777776,0.9121621621621622,Alta
P0014,Palillos chinos,Cocina,172,39,33,2025-09-18,231,0.5625,0.21621621621621623,Baja
P0015,Pijama,Ropa,210,76,12,2025-02-02,48,0.6944444444444444,0.07432432432432433,Baja
P0016,Cepillo facial,Belleza,71,41,99,2025-06-21,360,0.21180555555555552,0.6621621621621622,Media
P0017,Cable Tipo C,Electronica,44,69,101,2025-05-11,257,0.11805555555555554,0.6756756756756757,Alta
P0018,Farol decorativo,Decoracion,264,18,103,2025-10-10,207,0.8819444444444444,0.6891891891891891,Alta
